27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321 <- 313; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 113; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321 <- 323; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321 <- 313; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 221; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 421; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 223; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 113; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 313; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321 <- 313; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 2224; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 223; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 223; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 223; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 113; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 411; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 411; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 113; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 421 <- 413; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 421; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 411 <- 413; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 221; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 421 <- 423; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 213; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 411; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 223; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211 <- 223; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 431 <- 531 <- 533; isPrompt = 0
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 411; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321 <- 323; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 321; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
[27074:my-example-task]: ==== Forward muon decay chain: mu <- 211; isPrompt = 1
